,Республика Карелия,Северо-Западный федеральный округ
Петрозаводск - 268,8
   Кондопога - 33,7
   Сегежа - 32,7
   Костомукша - 29,9
   Сортавала - 19,5
   Медвежьегорск - 15,7
   Кемь - 13,5
   Питкяранта - 12,8
   Беломорск - 11,9
   Суоярви - 10,9
   Пудож - 9,9
   Олонец - 9,4
   Лахденпохья - 8,3
,Республика Коми,Северо-Западный федеральный округ
Сыктывкар - 231,0
   Ухта - 103,4
   Воркута - 74,3
   Печора - 46,7
   Усинск - 44,1
   Инта - 35,2
   Сосногорск - 28,4
   Емва - 14,8
   Вуктыл - 13,3
   Микунь - 10,9
,Архангельская область,Северо-Западный федеральный округ
Архангельск - 348,7
   Северодвинск - 192,3
   Котлас - 60,6
   Коряжма - 39,6
   Новодвинск - 40,6
   Мирный - 30,3
   Вельск - 23,9
   Онега - 21,4
   Няндома - 22,4
   Нарьян-Мар - 21,3
   Каргополь - 10,1
   Шенкурск - 5,7
   Мезень - 3,6
   Сольвычегодск - 2,5
,Вологодская область,Северо-Западный федеральный округ
Вологда - 287,0
   Череповец - 308,4
   Сокол - 41,2
   Великий Устюг - 32,4
   Грязовец - 15,5
   Бабаево - 12,3
   Харовск - 11,1
   Вытегра - 11,1
   Белозерск - 10,6
   Тотьма - 10,5
   Устюжна - 10,1
   Никольск - 8,6
   Кириллов - 8,1
   Красавино - 8,0
   Кадников - 5,1

,Калининградская область,Северо-Западный федеральный округ
Калининград - 433,5
   Советск - 41,9
   Черняховск - 39,6
   Балтийск - 32,9
   Гусев - 28,5
   Светлый - 21,6
   Гвардейск - 13,8
   Зеленоградск - 13,0
   Гурьевск - 12,7
   Неман - 11,7
   Пионерский - 11,4
   Светлогорск - 11,0
   Мамоново - 8,1
   Полесск - 7,5
   Багратионовск - 6,5
   Озерск - 4,6
   Славск - 4,6
   Нестеров - 4,5
   Правдинск - 4,3
   Ладушкин - 3,9
   Краснознаменск - 3,5
   Приморск - 2,0

Санкт-Петербург,Ленинградская область,Северо-Западный федеральный округ
Гатчина - 93,8
   Выборг - 80,6
   Сосновый Бор - 67,0
   Тихвин - 58,5
   Кириши - 52,6
   Кингисепп - 48,6
   Сертолово - 48,4
   Волхов - 46,9
   Тосно - 38,9
   Луга - 37,8
   Сланцы - 33,2
   Кировск - 25,5
   Отрадное - 24,5
   Пикалево - 21,4
   Коммунар - 20,7
   Лодейное Поле - 20,7
   Никольское - 19,6
   Приозерск - 18,8
   Подпорожье - 18,5
   Бокситогорск - 16,3
   Светогорск - 15,9
   Шлиссельбург - 13,8
   Сясьстрой - 13,6
   Волосово - 12,1
   Ивангород - 10,1
   Новая Ладога - 8,8
   Каменногорск - 6,7
   Приморск - 6,0
   Любань - 4,4
   Высоцк - 1,2
,Мурманская область,Северо-Западный федеральный округ
 Мурманск - 305,0
   Апатиты - 59,2
   Североморск - 50,0
   Кандалакша - 34,7
   Кировск - 28,3
   Оленегорск - 22,4
   Ковдор - 18,4
   Полярный - 17,4
   Заполярный - 15,7
   Полярные Зори - 14,9
   Снежногорск - 12,5
   Заозерск - 10,8
   Гаджиево - 11,3
   Кола - 10,3
   Островной - 2,1
,Новгородская область,Северо-Западный федеральный округ
Великий Новгород - 219,9
   Боровичи - 53,4
   Старая Русса - 30,9
   Пестово - 15,9
   Валдай - 15,5
   Чудово - 15,2
   Малая Вишера - 12,1
   Окуловка - 11,9
   Сольцы - 9,6
   Холм - 3,8
,Псковская область,Северо-Западный федеральный округ
Псков - 194,2
   Великие Луки - 100,3
   Остров - 23,9
   Невель - 16,9
   Опочка - 13,1
   Печоры - 12,4
   Порхов - 11,4
   Дно - 9,2
   Новосокольники - 9,0
   Себеж - 6,4
   Пыталово - 6,2
   Пустошка - 5,0
   Гдов - 4,6
   Новоржев - 4,0
Нарьян-Мар,Ненецкий автономный округ,Северо-Западный федеральный округ

,Республика Саха,Дальневосточный федеральный округ
Якутск - 245,6
   Нерюнгри - 64,9
   Мирный - 38,0
   Ленск - 24,4
   Алдан - 23,9
,Камчатский край,Дальневосточный федеральный округ
Петропавловск-Камчатский - 179,5
   Елизово - 39,5
   Вилючинск - 22,9
,Приморский край,Дальневосточный федеральный округ
Владивосток - 583,7
  Находка - 171,7
  Уссурийск - 154,8
  Артем - 102,3
  Арсеньев - 59,7
  Спасск-Дальний - 46,9
  Партизанск - 41,6
  Лесозаводск - 42,0
  Дальнегорск - 39,2
  Большой Камень - 38,2
  Дальнереченск - 29,1
  Фокино - 25,8
,Хабаровский край,Дальневосточный федеральный округ
Хабаровск - 579,2
   Комсомольск-на-Амуре - 271,0
   Амурск - 45,6
   Советская Гавань - 28,7
   Николаевск-на-Амуре - 24,9
   Бикин - 19,0
   Вяземский - 15,4
,Амурская область,Дальневосточный федеральный округ
